state,state_abbr,year,Anthropic_interest,ChatGPT_interest,Claude AI_interest,Claude Code_interest,Claude Opus_interest,Claude Sonnet_interest,DeepSeek_interest,Gemini Pro_interest,GitHub Copilot_interest,Google DeepMind_interest,Google Gemini_interest,GPT-4_interest,GPT-5_interest,Grok AI_interest,Llama AI_interest,Meta AI_interest,Microsoft Copilot_interest,Mistral AI_interest,OpenAI_interest,Perplexity AI_interest,ai_interest_index,small_claims_filings,small_claims_dispositions,parking_hearing_records,parking_appeal_records,ui_first_payments_total,ui_pct_within_21_days,ui_avg_days_to_first_payment_approx,unemployment_rate_avg,data_coverage_notes
Arizona,AZ,2026,19,80,48,32,17,17,24,16,16,8,58,6,7,30,11,15,19,8,7,21,22.95,,,,,69573,86.03050033777471,11.305240538714733,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Arkansas,AR,2020,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,3.7,,,,,379167,91.59947991254514,10.086091352886722,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Arkansas,AR,2021,0,0,0,0,0,0,0,0,66,0,55,0,0,0,0,0,0,0,0,0,6.05,,,,,61128,96.12288967412644,8.174952558565632,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Arkansas,AR,2022,0,35,0,0,0,0,0,0,27,0,53,0,0,0,0,0,0,0,30,0,7.25,,,,,48082,91.74535169086144,10.044975250613534,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Arkansas,AR,2023,10,38,27,0,0,0,0,0,17,0,38,23,0,33,25,24,27,0,25,38,16.25,,,,,48487,79.95545197681852,14.040433518262628,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Arkansas,AR,2024,10,49,24,32,26,20,0,35,23,0,36,11,0,46,17,63,39,0,20,26,23.85,,,,,49025,83.21468638449771,13.01059663437022,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Arkansas,AR,2025,13,72,30,16,21,20,23,29,38,19,61,44,26,66,20,52,57,13,23,35,33.9,,,,,48746,87.75078980839453,11.515385877815616,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Arkansas,AR,2026,10,73,31,15,12,11,14,11,10,5,55,5,4,26,7,10,20,5,5,10,16.95,,,,,22280,92.9443447037702,9.825269299820468,,"trends,no-court-stats,no-parking,unemployment,no-controls"
California,CA,2020,76,0,0,31,0,56,0,16,0,98,77,0,0,0,13,100,0,0,99,0,28.3,,,,,9156642,82.40022925434893,13.039983762606422,,"trends,no-court-stats,no-parking,unemployment,no-controls"
California,CA,2021,47,0,0,63,0,0,0,68,61,100,83,100,0,0,0,100,100,0,87,0,40.45,,,,,2193757,74.15597990114675,15.721961684908583,,"trends,no-court-stats,no-parking,unemployment,no-controls"
California,CA,2022,73,100,19,21,0,42,0,74,71,76,62,65,100,0,34,98,39,0,100,52,51.3,,,,,1510981,84.67386419816,11.94981935576953,,"trends,no-court-stats,no-parking,unemployment,no-controls"
California,CA,2023,83,100,60,51,0,67,100,100,81,71,88,81,16,47,89,84,60,56,100,66,70.0,,,,,1813851,88.41150678859509,10.673032955849186,,"trends,no-court-stats,no-parking,unemployment,no-controls"
California,CA,2024,80,90,57,45,80,80,100,95,84,78,79,63,17,82,55,82,56,56,100,69,72.4,,,,,1784080,89.65887179947087,10.401439397336445,,"trends,no-court-stats,no-parking,unemployment,no-controls"
California,CA,2025,73,95,63,95,72,68,100,100,73,93,100,100,96,97,64,100,64,54,100,67,83.7,,,,,1794319,90.46089352004856,10.23140840619756,,"trends,no-court-stats,no-parking,unemployment,no-controls"
California,CA,2026,41,98,76,87,38,32,92,39,30,23,79,11,14,35,16,27,27,16,14,39,41.7,,,,,1161637,92.572808889524,9.664296591792445,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Colorado,CO,2020,86,0,0,0,0,0,0,13,0,0,65,0,0,0,0,0,0,0,46,0,10.5,,,,,957795,90.64747675650844,11.627861389963403,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Colorado,CO,2021,34,0,0,0,0,0,0,57,57,0,48,0,0,0,0,0,0,0,54,0,12.5,,,,,334403,92.48810566890847,9.956960613391626,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Colorado,CO,2022,50,61,0,0,0,0,0,76,51,32,53,0,0,0,0,41,0,0,56,0,21.0,,,,,89686,86.10485471534018,11.412126753339429,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Colorado,CO,2023,29,63,46,51,0,0,0,47,61,28,57,46,0,48,49,40,53,14,47,46,36.25,,,,,150066,79.70626257779911,14.00351512001386,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Colorado,CO,2024,29,59,38,30,43,48,22,51,64,16,60,39,0,71,30,50,50,25,42,36,40.15,,,,,168287,78.57231990587509,13.586171243173863,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Colorado,CO,2025,36,71,53,46,46,49,36,49,56,34,77,66,46,71,47,66,64,36,49,50,52.4,,,,,189729,83.73627647855626,11.332853701858967,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Colorado,CO,2026,23,63,60,39,20,21,23,17,20,11,51,6,8,27,11,14,29,10,8,25,24.3,,,,,121593,84.62740453809019,11.236317057725362,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Connecticut,CT,2020,80,0,0,98,0,0,0,17,0,0,79,0,0,0,0,0,0,0,46,0,16.0,,,,,839819,81.24953114897376,12.50188195313514,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Connecticut,CT,2021,35,0,0,83,0,0,0,57,65,0,91,0,0,0,0,0,0,0,39,0,18.5,,,,,224989,87.72517767535302,11.626835089715495,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Connecticut,CT,2022,29,67,0,0,0,0,0,65,35,60,53,0,0,0,0,36,0,0,52,0,19.85,,,,,132826,83.25779591345068,12.706077876319394,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Connecticut,CT,2023,26,70,43,0,0,0,0,44,35,26,50,46,0,49,43,37,49,0,44,52,30.7,,,,,143500,76.29337979094076,14.241202090592337,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Connecticut,CT,2024,24,68,45,36,36,39,15,45,46,29,49,47,25,59,32,54,55,18,34,52,40.4,,,,,143471,77.79551268200542,13.696036132737628,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Connecticut,CT,2025,28,79,38,29,25,32,43,37,41,40,69,57,39,70,41,54,61,21,41,40,44.25,,,,,141906,79.29474440827026,13.222435978746494,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Connecticut,CT,2026,20,75,52,29,16,17,18,16,16,10,57,6,9,24,9,12,22,10,8,18,22.2,,,,,102518,80.46196765446068,13.0872773561716,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Delaware,DE,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,121762,90.06750874657118,10.394507317553916,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Delaware,DE,2021,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,5.0,,,,,27919,90.89508936566496,10.011730362835346,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Delaware,DE,2022,0,49,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,36,0,7.85,,,,,16009,81.36048472734088,12.717846211506028,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Delaware,DE,2023,16,55,34,0,0,0,0,0,26,0,38,34,0,0,0,26,32,0,32,29,16.1,,,,,21054,79.82806117602355,12.5809584876983,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Delaware,DE,2024,13,64,28,0,0,0,0,0,29,0,43,26,0,37,0,58,44,37,29,38,22.3,,,,,19640,79.34317718940936,13.830626272912424,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Delaware,DE,2025,18,78,34,18,22,19,35,34,32,28,62,43,20,51,23,46,55,0,31,18,33.35,,,,,20236,79.047242538051,13.962566712789087,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Delaware,DE,2026,15,75,41,23,15,16,19,14,15,7,45,5,6,23,11,13,21,6,6,13,19.45,,,,,13791,79.66789935465158,13.538539627293162,,"trends,no-court-stats,no-parking,unemployment,no-controls"
District of Columbia,DC,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,3.55,,,,,158197,81.00343242918639,12.630489200174466,,"trends,no-court-stats,no-parking,unemployment,no-controls"
District of Columbia,DC,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,4.05,,,,,49288,84.22131147540983,12.126572390845642,,"trends,no-court-stats,no-parking,unemployment,no-controls"
District of Columbia,DC,2022,100,99,0,0,0,0,0,0,57,0,70,0,0,0,0,95,0,0,90,0,25.55,,,,,15183,85.94480669169467,11.741717710597378,,"trends,no-court-stats,no-parking,unemployment,no-controls"
District of Columbia,DC,2023,100,100,100,0,0,0,0,0,78,100,100,100,100,100,81,100,97,100,76,100,71.6,,,,,25648,85.39847161572052,12.724305988771054,,"trends,no-court-stats,no-parking,unemployment,no-controls"
District of Columbia,DC,2024,100,100,100,100,100,64,82,100,91,100,100,100,100,100,100,100,100,100,92,100,96.45,,,,,22508,84.03234405544696,13.082770570463834,,"trends,no-court-stats,no-parking,unemployment,no-controls"
District of Columbia,DC,2025,100,100,100,77,95,96,85,93,88,100,91,87,67,87,100,96,100,100,84,71,90.85,,,,,43390,88.59184143811937,11.493247292002764,,"trends,no-court-stats,no-parking,unemployment,no-controls"
District of Columbia,DC,2026,52,93,100,61,37,37,36,29,30,17,61,9,13,21,15,22,40,18,12,57,38.0,,,,,13977,91.60764112470488,10.882771696358304,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Florida,FL,2020,55,0,0,37,0,0,0,13,0,34,67,0,0,0,0,0,0,0,26,0,11.6,,,,,3162062,72.30715273767561,16.34607291065134,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Florida,FL,2021,26,0,0,72,0,0,0,56,30,33,74,0,0,0,0,59,0,0,33,0,19.15,,,,,501671,87.71944162608563,10.646934943419094,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Florida,FL,2022,30,46,0,23,0,74,0,57,29,20,55,25,0,0,0,26,37,0,35,32,24.45,,,,,265202,89.46010965226506,10.102691533246356,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Florida,FL,2023,17,59,37,31,0,49,0,53,26,17,38,33,13,39,38,32,39,12,45,42,31.0,,,,,304179,89.87010937638694,10.188928229759451,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Florida,FL,2024,15,65,33,28,30,30,16,38,31,12,49,33,8,63,25,65,56,15,33,34,33.95,,,,,223933,87.81019322743856,11.645434125385718,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Florida,FL,2025,23,85,40,28,32,30,35,45,33,34,78,60,36,83,36,66,64,28,40,44,46.0,,,,,218553,83.64286923537998,12.944908100094716,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Florida,FL,2026,21,87,55,31,17,16,21,18,15,9,68,7,8,29,11,17,26,9,8,28,25.05,,,,,117833,89.96121629764158,10.956476538830378,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Georgia,GA,2020,55,0,0,31,0,0,0,6,0,28,63,0,0,0,0,0,0,0,31,0,10.7,,,,,2036705,81.31369049518707,12.817952771756342,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Georgia,GA,2021,18,0,0,61,0,0,0,45,32,54,65,0,0,0,0,0,0,0,43,0,15.9,,,,,327868,85.05465614210597,11.554782717435064,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Georgia,GA,2022,21,55,0,0,0,0,0,58,33,16,56,33,0,0,0,39,0,0,37,42,19.5,,,,,172225,75.92103353171723,13.23454202351575,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Georgia,GA,2023,19,62,42,0,0,0,0,63,35,21,42,35,10,31,39,38,40,12,42,45,28.8,,,,,225472,74.75429321600909,13.203069560743684,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Georgia,GA,2024,19,71,35,23,36,34,19,46,43,26,53,31,11,53,26,60,56,20,37,45,37.2,,,,,217473,75.47005835207129,12.89125316705982,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Georgia,GA,2025,27,94,49,35,36,36,40,42,42,35,92,60,39,73,39,60,94,30,42,49,50.7,,,,,215456,80.90979132630328,12.156820882221892,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Georgia,GA,2026,19,91,56,33,17,18,22,18,19,8,72,6,8,32,11,14,29,9,8,32,26.1,,,,,117108,81.9124227209072,12.016817809201765,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Hawaii,HI,2020,0,0,0,0,0,0,0,49,0,0,100,0,0,0,0,0,0,0,0,0,7.45,,,,,357272,70.10540988378602,16.62683053807743,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Hawaii,HI,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,53361,80.9786173422537,13.195123779539363,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Hawaii,HI,2022,0,52,0,0,0,0,0,0,36,0,50,0,0,0,0,0,0,0,44,0,9.1,,,,,31563,88.87304755568228,10.807084244209992,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Hawaii,HI,2023,28,56,41,0,0,0,0,0,34,0,46,43,0,34,51,35,34,0,38,59,24.95,,,,,43387,86.33231152188444,11.888307557563325,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Hawaii,HI,2024,20,58,37,0,0,27,0,42,19,0,57,29,0,67,32,72,48,30,32,55,31.25,,,,,28338,86.8480485567083,11.96301785588256,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Hawaii,HI,2025,37,68,49,44,34,41,33,61,41,80,72,83,100,80,45,87,56,30,47,76,58.2,,,,,30511,90.74759922650848,10.695175510471634,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Hawaii,HI,2026,16,66,36,23,14,14,18,18,11,14,45,5,7,25,6,16,18,7,6,21,19.3,,,,,15736,90.21987798678192,10.934703863751906,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Idaho,ID,2020,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,3.1,,,,,180818,83.87107478237786,12.706749328053624,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Idaho,ID,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,2.4,,,,,45318,88.14819718434175,10.69865174985657,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Idaho,ID,2022,44,40,0,0,0,0,0,0,44,0,45,0,0,0,0,0,0,0,41,0,10.7,,,,,41200,97.94417475728156,8.049150485436893,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Idaho,ID,2023,19,51,33,0,0,0,0,0,33,0,35,31,0,31,0,34,43,0,35,39,19.2,,,,,71606,96.88992542524367,8.3405929670698,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Idaho,ID,2024,17,54,29,0,0,29,0,0,36,0,47,27,0,73,22,58,52,16,29,26,25.75,,,,,49802,96.45797357535842,8.449158668326573,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Idaho,ID,2025,19,71,34,24,22,22,23,31,35,31,55,29,23,100,31,44,52,13,26,29,35.7,,,,,49007,96.7269981839329,8.409757789703512,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Idaho,ID,2026,12,66,36,21,13,12,13,12,12,3,42,2,5,30,7,10,18,5,5,10,16.7,,,,,28696,91.41343741287984,9.55614022860329,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Illinois,IL,2020,60,0,0,0,0,0,0,13,0,61,75,0,0,0,0,0,0,0,39,0,12.4,,,,,2403329,90.82847167408208,11.975841842710674,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Illinois,IL,2021,20,0,0,55,0,0,0,48,37,68,69,0,0,0,54,0,0,0,47,0,19.9,,,,,797181,87.99933766610091,12.428504317087336,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Illinois,IL,2022,25,63,0,0,0,0,0,48,39,33,57,33,0,0,100,40,50,0,44,43,28.75,,,,,406060,87.10560015761217,12.427970004432842,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Illinois,IL,2023,22,61,36,26,0,0,0,56,46,31,47,39,10,36,38,35,52,18,43,44,32.0,,,,,479001,90.78331778012988,10.973720305385584,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Illinois,IL,2024,22,60,34,28,36,36,23,49,53,27,54,36,13,56,32,53,62,24,40,35,38.65,,,,,494753,93.08139617142292,9.760215703593513,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Illinois,IL,2025,29,74,41,34,37,38,46,43,51,30,76,58,38,69,35,59,66,31,44,41,47.0,,,,,523265,94.41697801305266,9.284036769132276,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Illinois,IL,2026,21,71,49,34,19,18,23,17,22,10,59,7,8,28,10,14,26,9,8,25,23.9,,,,,291326,94.90913958932606,9.110187556208508,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Indiana,IN,2020,94,0,0,0,0,0,0,0,0,71,51,0,0,0,0,0,0,0,35,0,12.55,,,,,1059399,84.40908477353669,13.11272098614403,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Indiana,IN,2021,39,0,0,0,0,0,0,48,21,0,72,0,0,0,0,0,0,0,45,0,11.25,,,,,201511,82.8728952761884,13.017053659601707,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Indiana,IN,2022,29,46,0,0,0,0,0,40,30,0,41,0,0,0,0,38,0,0,41,0,13.25,,,,,98098,88.3453281412465,11.064369304165222,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Indiana,IN,2023,14,48,37,67,0,0,0,44,29,16,38,31,0,32,24,27,33,0,32,34,25.3,,,,,107158,89.99701375538925,11.042969260344538,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Indiana,IN,2024,12,51,30,26,28,23,8,33,30,14,38,28,0,52,22,62,45,11,27,27,28.35,,,,,102313,90.85160243566312,10.49880758065935,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Indiana,IN,2025,15,65,25,18,21,22,35,35,29,22,72,36,26,59,26,41,53,15,25,24,33.2,,,,,86035,93.1423257976405,9.685883652002092,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Indiana,IN,2026,11,60,32,20,11,10,13,12,11,6,58,4,6,20,6,9,17,5,5,12,16.4,,,,,55257,87.89112691604683,11.156197404853684,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Iowa,IA,2020,0,0,100,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,36,0,9.3,,,,,567826,85.17697322771413,12.313615438532226,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Iowa,IA,2021,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,40,0,4.9,,,,,132505,77.12765556016754,14.601592392739896,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Iowa,IA,2022,28,46,0,0,0,0,0,0,38,0,51,0,0,0,0,0,0,0,36,0,9.95,,,,,93852,83.18948983505946,12.4771395388484,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Iowa,IA,2023,9,41,30,0,0,0,0,0,31,0,31,25,0,26,35,23,36,0,25,28,17.0,,,,,101480,82.51281040599133,12.651778675601104,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Iowa,IA,2024,10,46,23,21,29,22,0,30,47,0,40,25,0,56,14,58,56,12,21,23,26.65,,,,,124070,84.32175384863385,12.475880551301683,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Iowa,IA,2025,16,61,26,17,13,21,24,27,40,22,57,47,21,64,26,40,65,18,29,24,32.9,,,,,107709,88.04278194022783,11.663310401173533,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Iowa,IA,2026,12,59,31,18,13,13,14,11,17,7,47,4,5,23,6,10,23,7,5,10,16.75,,,,,57840,91.62171507607192,10.755186721991702,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Kansas,KS,2020,100,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,27,0,9.7,,,,,614828,89.94011333250926,10.576492937862296,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Kansas,KS,2021,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,41,0,4.7,,,,,168626,92.2141306797291,10.358358141686336,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Kansas,KS,2022,33,48,0,0,0,0,0,0,31,0,49,0,0,0,0,45,0,0,33,0,11.95,,,,,43160,90.24096385542168,10.089828544949029,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Kansas,KS,2023,12,48,37,0,0,0,0,0,37,0,34,28,0,30,33,30,39,0,33,39,20.0,,,,,43011,90.21180628211388,10.064820627281392,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Kansas,KS,2024,14,51,27,0,26,34,20,36,39,0,46,14,0,51,14,63,48,10,25,31,27.45,,,,,52314,89.71976908666896,10.369298849256412,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Kansas,KS,2025,15,68,31,22,25,27,33,52,35,25,69,50,28,79,32,54,57,17,33,31,39.15,,,,,48217,81.80724640686896,12.967926250077774,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Kansas,KS,2026,33,68,54,52,34,39,37,34,27,22,59,20,27,70,26,25,29,18,19,34,36.35,,,,,32169,92.57670428051853,9.743899406260686,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Kentucky,KY,2020,62,0,0,0,0,0,0,0,0,0,54,0,0,0,100,0,0,0,11,0,11.35,,,,,698823,89.35481516778927,12.203125827283875,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Kentucky,KY,2021,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,27,0,3.6,,,,,83005,87.06945364737064,11.861472200469851,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Kentucky,KY,2022,0,35,0,0,0,0,0,0,16,0,40,100,0,0,0,0,0,0,30,0,11.05,,,,,49262,86.06836912833421,11.166223458243676,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Kentucky,KY,2023,9,39,20,0,0,0,0,0,20,0,28,21,0,27,22,22,28,22,22,33,15.65,,,,,48280,85.4618889809445,11.94446975973488,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Kentucky,KY,2024,9,44,23,26,24,17,0,24,28,0,38,21,0,47,14,71,42,10,19,21,23.9,,,,,45080,89.68500443655724,11.061157941437443,,"trends,no-court-stats,no-parking,unemployment,no-controls"
Kentucky,KY,2025,12,62,24,15,18,22,22,25,23,17,68,39,25,62,18,42,51,15,27,27,30.7,,,,,62626,83.78149650304985,11.873966084373905,,"trends,no-court-stats,no-parking,unemployment,no-controls"
